#creator_id: 'https://orcid.org/0000-0002-3884-3420'									
#curie_map: 									
#  alum8: 'http://www.neii.gov.au/def/voc/ACLUMP/australian-land-use-and-management-classification/'									
#  get: 'https://global-ecosystems.org/explore/'									
#  semapv: 'https://w3id.org/semapv/vocab/'									
#  skos: 'http://www.w3.org/2004/02/skos/core'									
#  xkos: 'http://rdf-vocabulary.ddialliance.org/xkos#'									
#license: 'https://creativecommons.org/publicdomain/zero/1.0/'									
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	confidence	comment
alum8:Nature-conservation	Nature conservation			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Strict-nature-reserves	Strict nature reserves			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Wilderness-area	Wilderness area			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:National-park	National park			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Natural-feature-protection	Natural feature protection			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Habitat-or-species-management-area	Habitat/species management area			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Protected-landscape	Protected landscape			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Other-conserved-area	Other conserved area			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Managed-resource-protection	Managed resource protection				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Biodiversity	Biodiversity			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Surface-water-supply	Surface water supply			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Groundwater	Groundwater			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Landscape	Landscape			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Traditional-Indigenous-uses	Traditional Indigenous uses			Administrative	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Other-minimal-use	Other minimal use				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Defence-landnatural-areas	Defence land - natural areas			NVIS	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Stock-route	Stock route			NVIS	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
