Value,REG_NAME_7,MVG_NAME,MVS_NAME,EFG_DK
1,Australian Alps,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
2,Ben Lomond,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
3,Furneaux,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
4,King,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
5,South East Corner,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
6,South Eastern Highlands,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
7,South Eastern Queensland,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
8,Sydney Basin,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
9,Tasmanian Central Highlands,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
10,Tasmanian Northern Midlands,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
11,Tasmanian Northern Slopes,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
12,Tasmanian South East,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
13,Tasmanian Southern Ranges,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
14,Tasmanian West,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
15,Brigalow Belt North,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
16,Brigalow Belt South,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.2
17,Central Mackay Coast,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
18,Cape York Peninsula,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,"T1.1, 0.49; TF1.1, 0.51"
19,Einasleigh Uplands,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
20,Gulf Plains,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.2
21,Nandewar,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.2
22,New England Tablelands,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
