Value,REG_CODE_7,REG_NAME_7,MVG_NAME,MVS_NAME,count,pct,count.Extant,pct.Extant,EFG_DK,EFG_IBRA_MVS,EFG_IBRA_MVG,EGF_CM,EFG_combined
1,ARC,Arnhem Coast,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,1695698,0.2207,1814460,0.2361,T4.2,T4.2,T4.2,,T4.2
2,ARC,Arnhem Coast,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,59037,0.0077,5436,0.0007,,T4.2,T4.3,,T4.2
3,ARC,Arnhem Coast,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,351484,0.0458,210283,0.0274,T4.2,T4.2,T4.2,,T4.2
4,ARC,Arnhem Coast,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,428269,0.0557,399368,0.052,T4.2,T4.2,T4.2,,T4.2
5,ARC,Arnhem Coast,Eucalypt Woodlands,Eucalyptus woodlands with a hummock grass understorey,46133,0.006,19067,0.0025,T4.3,T4.3,T4.2,,T4.3
6,ARC,Arnhem Coast,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,266234,0.0347,266596,0.0347,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
7,ARC,Arnhem Coast,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,54714,0.0071,54718,0.0071,T4.3,T4.3,T4.3,,T4.3
8,ARC,Arnhem Coast,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,40530,0.0053,40503,0.0053,MT2.1,MT2.1,MT2.1,,MT2.1
9,ARC,Arnhem Coast,Tussock Grasslands,Other tussock grasslands,471,0.0001,,,,,,,
10,ARC,Arnhem Coast,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",64600,0.0084,64550,0.0084,TF1.4,TF1.4,TF1.4,,TF1.4
11,ARC,Arnhem Coast,Mangroves,Mangroves,95167,0.0124,95165,0.0124,MFT1.2,MFT1.2,MFT1.2,,MFT1.2
12,ARC,Arnhem Coast,"Chenopod Shrublands, Samphire Shrublands and Forblands","Naturally bare, sand, rock, claypan, mudflat",87944,0.0114,,,,,"MT1.2, 0.6; MFT1.3, 0.4",,"MT1.2, 0.6; MFT1.3, 0.4"
13,ARC,Arnhem Coast,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,4738,0.0006,2169,0.0003,T4.2,T4.2,T4.3,,T4.2
14,ARC,Arnhem Coast,Rainforests and Vine Thickets,Dry rainforest or vine thickets,52754,0.0069,52688,0.0069,T1.2,T1.2,T1.2,,T1.2
15,ARC,Arnhem Coast,Acacia Open Woodlands,Dry rainforest or vine thickets,3,0,,,,T1.2,,,T1.2
16,ARC,Arnhem Coast,"Other Grasslands, Herblands, Sedgelands and Rushlands",Other grasslands,14659,0.0019,,,,,TF1.4,,TF1.4
17,ARC,Arnhem Coast,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a shrubby understorey,69,0,499,0.0001,MT2.1,MT2.1,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,MT2.1
18,ARC,Arnhem Coast,Other Open Woodlands,Melaleuca open woodlands,24963,0.0032,24933,0.0032,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
19,ARC,Arnhem Coast,Unclassified Forest,Unclassified forest,1053,0.0001,,,,,,,
20,ARC,Arnhem Coast,Unclassified Forest,Unclassified native vegetation,29815,0.0039,,,,,,,
21,ARP,Arnhem Plateau,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,282331,0.0367,309564,0.0403,T4.2,T4.2,T4.2,,T4.2
22,ARP,Arnhem Plateau,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,273481,0.0356,52269,0.0068,"T4.2, 0.6; T4.3, 0.4",T4.2,"T4.2, 0.6; T4.3, 0.4",,"T4.2, 0.6; T4.3, 0.4"
23,ARP,Arnhem Plateau,Eucalypt Woodlands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,8879,0.0012,,,,T4.2,T4.2,,T4.2
24,ARP,Arnhem Plateau,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,413247,0.0538,401081,0.0522,T4.2,T4.2,T4.2,,T4.2
25,ARP,Arnhem Plateau,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,419995,0.0547,411115,0.0535,T4.2,T4.2,T4.2,,T4.2
26,ARP,Arnhem Plateau,Eucalypt Woodlands,Eucalyptus woodlands with a hummock grass understorey,350451,0.0456,22001,0.0029,T4.3,T4.3,T4.2,,T4.3
27,ARP,Arnhem Plateau,Acacia Forests and Woodlands,Other Acacia forests and woodlands,218,0,218,0,T4.3,T4.3,T4.3,,T4.3
28,ARP,Arnhem Plateau,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,32743,0.0043,32717,0.0043,"TF1.2, 0.6; T4.2, 0.4","TF1.2, 0.6; T4.2, 0.4","TF1.2, 0.6; T4.2, 0.4",,"TF1.2, 0.6; T4.2, 0.4"
29,ARP,Arnhem Plateau,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,381832,0.0497,381814,0.0497,"T3.1, 0.4; T4.3, 0.6","T3.1, 0.4; T4.3, 0.6","T3.1, 0.4; T4.3, 0.6",,"T3.1, 0.4; T4.3, 0.6"
30,ARP,Arnhem Plateau,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,1449,0.0002,,,,,"T3.1, 0.4; T4.3, 0.6",,"T3.1, 0.4; T4.3, 0.6"
31,ARP,Arnhem Plateau,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",3356,0.0004,3335,0.0004,TF1.4,TF1.4,TF1.4,,TF1.4
32,ARP,Arnhem Plateau,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,16253,0.0021,6257,0.0008,T4.2,T4.2,"T3.1, 0.4; T4.3, 0.6",,T4.2
33,ARP,Arnhem Plateau,Rainforests and Vine Thickets,Dry rainforest or vine thickets,111577,0.0145,111570,0.0145,T1.2,T1.2,T1.2,,T1.2
34,ARP,Arnhem Plateau,Unclassified Forest,Unclassified native vegetation,10184,0.0013,,,,,,,
35,AUA,Australian Alps,Rainforests and Vine Thickets,Cool temperate rainforest,4205,0.0005,4210,0.0005,T2.3,T2.3,T2.3,,T2.3
36,AUA,Australian Alps,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),1003,0.0001,2074,0.0003,T2.5,T2.5,T2.5,,T2.5
37,AUA,Australian Alps,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),75456,0.0098,174479,0.0227,T2.5,T2.5,T2.5,,T2.5
38,AUA,Australian Alps,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,77766,0.0101,106398,0.0138,T2.6,T2.6,T2.5,,T2.6
39,AUA,Australian Alps,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,156166,0.0203,90579,0.0118,T2.6,T2.6,T2.5,,T2.6
40,AUA,Australian Alps,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,318846,0.0415,311929,0.0406,T4.4,T4.4,T4.4,,T4.4
41,AUA,Australian Alps,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,82019,0.0107,66519,0.0087,T6.4,T6.4,T4.4,,T6.4
42,AUA,Australian Alps,Acacia Forests and Woodlands,Other Acacia forests and woodlands,19,0,19,0,T2.6,T2.6,T2.6,,T2.6
43,AUA,Australian Alps,"Other Grasslands, Herblands, Sedgelands and Rushlands","Boulders/rock with algae, lichen or scattered plants, or alpine fjaeldmarks",468,0.0001,706,0.0001,T6.4,T6.4,T6.4,,T6.4
44,AUA,Australian Alps,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,154,0,156,0,TF1.2,TF1.2,TF1.2,,TF1.2
45,AUA,Australian Alps,Heathlands,Heathlands,9470,0.0012,17863,0.0023,T6.4,T6.4,T6.4,,T6.4
46,AUA,Australian Alps,Other Shrublands,Other shrublands,9145,0.0012,6380,0.0008,T6.4,T6.4,T6.4,,T6.4
47,AUA,Australian Alps,Tussock Grasslands,Temperate tussock grasslands,117,0,6746,0.0009,T6.4,T6.4,T6.4,,T6.4
48,AUA,Australian Alps,Tussock Grasslands,Other tussock grasslands,2349,0.0003,2312,0.0003,T6.4,T6.4,T6.4,,T6.4
49,AUA,Australian Alps,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",89080,0.0116,75631,0.0098,T6.4,T6.4,T6.4,,T6.4
50,AUA,Australian Alps,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",1003,0.0001,668,0.0001,T2.6,T2.6,T2.6,,T2.6
51,AUA,Australian Alps,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",497,0.0001,1059,0.0001,F3.1,F3.1,F3.1,,F3.1
52,AUA,Australian Alps,Eucalypt Open Woodlands,Eucalyptus low open woodlands with a shrubby understorey,111760,0.0145,,,,,T2.6,,T2.6
53,AUA,Australian Alps,Eucalypt Tall Open Forests,Eucalyptus tall open forest with a fine-leaved shrubby understorey,1,0,47314,0.0062,T2.5,T2.5,T2.5,,T2.5
54,AUA,Australian Alps,Other Forests and Woodlands,Leptospermum forests and woodlands,6171,0.0008,6170,0.0008,TF1.6,TF1.6,TF1.6,,TF1.6
55,AUA,Australian Alps,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",6546,0.0009,127934,0.0166,T4.4,T4.4,T4.4,,T4.4
56,AUA,Australian Alps,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",273658,0.0356,99002,0.0129,T2.5,T2.5,T2.5,,T2.5
57,AUA,Australian Alps,"Other Grasslands, Herblands, Sedgelands and Rushlands","Sedgelands, rushes or reeds",403,0.0001,559,0.0001,TF1.7,TF1.7,T6.4,,TF1.7
58,AUA,Australian Alps,"Other Grasslands, Herblands, Sedgelands and Rushlands",Other grasslands,217,0,216,0,T6.4,T6.4,T6.4,,T6.4
59,AUA,Australian Alps,Unclassified native vegetation,Unclassified native vegetation,6511,0.0008,5214,0.0007,T4.5,T4.5,T4.5,,T4.5
60,AUA,Australian Alps,Mallee Open Woodlands and Sparse Mallee Shrublands,Unknown/no data,31,0,,,,,,,
61,AVW,Avon Wheatbelt,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,2757,0.0004,842,0.0001,T2.6,T2.6,T2.6,,T2.6
62,AVW,Avon Wheatbelt,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,4697415,0.6114,736352,0.0958,T4.4,T4.4,T4.4,,T4.4
63,AVW,Avon Wheatbelt,Callitris Forests and Woodlands,Callitris forests and woodlands,335,0,,,,,,,
64,AVW,Avon Wheatbelt,Acacia Forests and Woodlands,Other Acacia forests and woodlands,3421,0.0004,3419,0.0004,T5.3,T5.3,T5.3,,T5.3
65,AVW,Avon Wheatbelt,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,2537,0.0003,955,0.0001,TF1.2,TF1.2,TF1.2,,TF1.2
66,AVW,Avon Wheatbelt,Other Forests and Woodlands,Other forests and woodlands,1281,0.0002,503,0.0001,T3.2,T3.2,"T2.6, 0.2; T3.2, 0.8",,T3.2
67,AVW,Avon Wheatbelt,Acacia Shrublands,Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,1290,0.0002,295,0,T5.3,T5.3,T3.2,,T5.3
68,AVW,Avon Wheatbelt,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,1100207,0.1432,284871,0.0371,T3.2,T3.2,T3.2,,T3.2
69,AVW,Avon Wheatbelt,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with chenopods,871,0.0001,,,,,T3.2,,T3.2
70,AVW,Avon Wheatbelt,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,22398,0.0029,5569,0.0007,"T2.6, 0.6; T4.4, 0.4","T2.6, 0.6; T4.4, 0.4","T2.6, 0.6; T4.4, 0.4",,"T2.6, 0.6; T4.4, 0.4"
71,AVW,Avon Wheatbelt,Mallee Woodlands and Shrublands,Mallee with hummock grass,158589,0.0206,23877,0.0031,T4.4a,T4.4a,"T4.4, 0.2; T4.4a, 0.8",,T4.4a
72,AVW,Avon Wheatbelt,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",910537,0.1185,292853,0.0381,"T5.3, 0.4; T3.2, 0.6","T5.3, 0.4; T3.2, 0.6","T5.3, 0.4; T3.2, 0.6",,"T5.3, 0.4; T3.2, 0.6"
73,AVW,Avon Wheatbelt,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,36281,0.0047,10210,0.0013,"T4.4a, 0.9; T3.2, 0.1","T4.4a, 0.9; T3.2, 0.1","T4.4, 0.2; T4.4a, 0.8",,"T5.6, 0.9; T3.2, 0.1"
74,AVW,Avon Wheatbelt,Heathlands,Heathlands,34955,0.0045,66257,0.0086,T3.2,T3.2,T3.2,,T3.2
